Adversarial Victim Model Training Summary
=======================================================
Training type:    adversarial (FGSM)
Architecture:     densenet121
Epochs:           35 (trained 35)
Best epoch:       5
Batch size:       64
Learning rate:    0.0001
Weight decay:     1e-4
Dropout:          True
pos_weight:       True
Gradient clip:    5.0
FGSM epsilon:     0.1
Alpha (clean wt): 0.5

Final train_acc:  0.9995
Final val_acc:    0.9037
Final val_AUC:    0.7415
Final adv_val_AUC:0.1892
Memorization gap: +9.58%

Epoch    TrLoss    TrAcc    TrAUC    VlLoss    VlAcc    VlAUC   AdvLoss   AdvAcc   AdvAUC    Gap%
----------------------------------------------------------------------------------------------------
    1    0.7504   0.8584   0.6392    0.7032   0.9061   0.7020    0.8986   0.8148   0.3343   -4.77
    2    0.5822   0.8639   0.7585    0.6770   0.8677   0.7424    2.2997   0.8774   0.2103   -0.38
    3    0.4924   0.8661   0.7978    0.6846   0.8728   0.7803    1.6603   0.7992   0.2147   -0.67
    4    0.4268   0.8681   0.8169    0.6401   0.8805   0.7887    1.7652   0.8829   0.2812   -1.24
    5    0.3844   0.8709   0.8373    0.6215   0.8679   0.8042    1.7058   0.7101   0.2146   +0.30
    6    0.3570   0.8746   0.8596    0.6275   0.8537   0.8000    1.7682   0.7786   0.2025   +2.09
    7    0.3352   0.8782   0.8792    0.6771   0.8472   0.7998    2.5735   0.7740   0.2048   +3.09
    8    0.3152   0.8843   0.9005    0.6900   0.8506   0.7796    2.6803   0.7504   0.1804   +3.36
    9    0.2991   0.8926   0.9226    0.7155   0.8487   0.7883    2.9971   0.7208   0.2181   +4.39
   10    0.2832   0.9028   0.9403    0.8264   0.8928   0.7965    3.2804   0.7028   0.1691   +1.01
   11    0.2679   0.9161   0.9554    0.8838   0.8886   0.7910    3.0686   0.7269   0.2226   +2.75
   12    0.2509   0.9279   0.9668    0.9676   0.8937   0.7823    3.7687   0.7314   0.2008   +3.42
   13    0.2367   0.9389   0.9750    1.0746   0.9009   0.7891    3.5161   0.7107   0.2144   +3.80
   14    0.2223   0.9480   0.9816    1.2230   0.9074   0.7770    3.7665   0.7011   0.1713   +4.06
   15    0.2045   0.9565   0.9867    1.1449   0.9027   0.7667    3.7995   0.7037   0.2027   +5.38
   16    0.1888   0.9642   0.9908    1.0442   0.8865   0.7691    4.2043   0.7033   0.1996   +7.77
   17    0.1706   0.9706   0.9936    1.2264   0.9002   0.7582    3.8243   0.7033   0.2307   +7.04
   18    0.1519   0.9766   0.9958    1.1913   0.8736   0.7451    4.3299   0.6933   0.2179  +10.29
   19    0.1360   0.9808   0.9971    1.3008   0.8988   0.7595    5.0757   0.6886   0.1835   +8.20
   20    0.1211   0.9848   0.9981    1.4741   0.9012   0.7579    5.4846   0.6968   0.1871   +8.36
   21    0.1054   0.9882   0.9988    1.5789   0.9080   0.7500    6.2627   0.7162   0.1581   +8.02
   22    0.0907   0.9909   0.9993    1.3742   0.8860   0.7594    6.3329   0.6993   0.1805  +10.49
   23    0.0774   0.9929   0.9996    1.5607   0.8990   0.7561    6.8177   0.7189   0.1777   +9.39
   24    0.0671   0.9945   0.9997    1.7309   0.9019   0.7552    7.2558   0.7401   0.1739   +9.26
   25    0.0582   0.9957   0.9998    1.6973   0.8983   0.7475    7.5174   0.7313   0.1668   +9.73
   26    0.0483   0.9968   0.9999    1.8658   0.9033   0.7508    7.9995   0.7434   0.1681   +9.35
   27    0.0410   0.9976   1.0000    1.9170   0.8920   0.7440    7.2180   0.7260   0.2147  +10.56
   28    0.0338   0.9983   1.0000    2.1052   0.9063   0.7538    8.6124   0.7548   0.1652   +9.20
   29    0.0290   0.9986   1.0000    2.0588   0.8974   0.7493    8.8970   0.7527   0.1737  +10.12
   30    0.0247   0.9990   1.0000    2.2110   0.8982   0.7467    9.3527   0.7526   0.1683  +10.07
   31    0.0216   0.9991   1.0000    2.2884   0.9027   0.7465    9.4988   0.7586   0.1653   +9.65
   32    0.0196   0.9993   1.0000    2.3942   0.9077   0.7494    9.7399   0.7654   0.1543   +9.17
   33    0.0172   0.9994   1.0000    2.4176   0.9065   0.7454    9.7420   0.7637   0.1535   +9.30
   34    0.0161   0.9994   1.0000    2.4273   0.9073   0.7482    9.9257   0.7655   0.1587   +9.21
   35    0.0152   0.9995   1.0000    2.4527   0.9037   0.7415    8.7003   0.7576   0.1892   +9.58
