Adversarial Victim Model Training Summary
=======================================================
Training type:    adversarial (FGSM)
Architecture:     densenet121
Epochs:           35 (trained 19)
Best epoch:       12
Batch size:       64
Learning rate:    0.0001
Weight decay:     1e-4
Dropout:          True
pos_weight:       True
Gradient clip:    5.0
FGSM epsilon:     0.1
Alpha (clean wt): 0.5

Final train_acc:  0.8899
Final val_acc:    0.9134
Final val_AUC:    0.7873
Final adv_val_AUC:0.1937
Memorization gap: -2.35%

Epoch    TrLoss    TrAcc    TrAUC    VlLoss    VlAcc    VlAUC   AdvLoss   AdvAcc   AdvAUC    Gap%
----------------------------------------------------------------------------------------------------
    1    0.7544   0.8567   0.6282    0.7125   0.9063   0.6846    0.8037   0.8003   0.4188   -4.95
    2    0.6283   0.8610   0.7409    0.7021   0.8946   0.7492    1.5248   0.7305   0.2103   -3.36
    3    0.5518   0.8615   0.7783    0.7390   0.9039   0.7606    1.3139   0.8218   0.2971   -4.24
    4    0.4581   0.8656   0.7964    0.7508   0.8956   0.7794    1.7497   0.8126   0.2263   -3.01
    5    0.4222   0.8666   0.8096    0.7590   0.9106   0.7901    1.7610   0.7858   0.1955   -4.40
    6    0.3905   0.8693   0.8217    0.8539   0.9153   0.7948    2.0341   0.8088   0.1707   -4.60
    7    0.3710   0.8700   0.8310    0.8272   0.9199   0.7933    2.1429   0.7720   0.1359   -4.99
    8    0.3586   0.8709   0.8389    0.9104   0.9204   0.7973    2.0480   0.7663   0.1260   -4.95
    9    0.3552   0.8727   0.8459    0.8125   0.9123   0.8034    2.0393   0.8122   0.2207   -3.96
   10    0.3408   0.8730   0.8530    0.7750   0.9148   0.8002    2.0349   0.7554   0.1799   -4.18
   11    0.3342   0.8751   0.8599    0.8823   0.9178   0.8002    2.2419   0.7680   0.1725   -4.27
   12    0.3290   0.8750   0.8666    0.8266   0.9131   0.8078    2.4414   0.7886   0.1632   -3.81
   13    0.3221   0.8769   0.8741    0.9601   0.9168   0.7982    2.4363   0.7965   0.1938   -3.99
   14    0.3172   0.8783   0.8809    0.9437   0.9053   0.7939    2.3365   0.7558   0.2022   -2.69
   15    0.3106   0.8807   0.8892    0.8237   0.9006   0.7929    1.8667   0.7379   0.2571   -1.98
   16    0.3062   0.8822   0.8960    1.1937   0.9157   0.7885    2.3961   0.7249   0.1572   -3.35
   17    0.3038   0.8845   0.9031    1.0425   0.9089   0.7878    2.7341   0.7716   0.1804   -2.44
   18    0.2961   0.8869   0.9099    0.8913   0.9007   0.7935    2.1050   0.7312   0.2349   -1.39
   19    0.2903   0.8899   0.9172    1.1303   0.9134   0.7873    2.4227   0.7405   0.1937   -2.35
