Adversarial Victim Model Training Summary
=======================================================
Training type:    adversarial (FGSM)
Architecture:     densenet121
Epochs:           35 (trained 20)
Best epoch:       13
Batch size:       64
Learning rate:    0.0001
Weight decay:     1e-4
Dropout:          True
pos_weight:       True
Gradient clip:    5.0
FGSM epsilon:     0.02
Alpha (clean wt): 0.5

Final train_acc:  0.8963
Final val_acc:    0.8970
Final val_AUC:    0.8189
Final adv_val_AUC:0.9348
Memorization gap: -0.07%

Epoch    TrLoss    TrAcc    TrAUC    VlLoss    VlAcc    VlAUC   AdvLoss   AdvAcc   AdvAUC    Gap%
----------------------------------------------------------------------------------------------------
    1    0.7523   0.8570   0.6347    0.6917   0.8980   0.7081    0.7631   0.8535   0.5437   -4.10
    2    0.6630   0.8626   0.7535    0.6202   0.8733   0.7855    0.6890   0.8583   0.7085   -1.08
    3    0.6237   0.8646   0.7902    0.6131   0.8833   0.7964    0.6779   0.8736   0.7455   -1.87
    4    0.6038   0.8675   0.8060    0.5905   0.8723   0.8138    0.7005   0.9016   0.7720   -0.48
    5    0.5723   0.8689   0.8150    0.5911   0.8622   0.8118    0.7472   0.9173   0.7971   +0.67
    6    0.4904   0.8724   0.8240    0.5810   0.8595   0.8200    1.0980   0.8556   0.5997   +1.29
    7    0.4682   0.8699   0.8323    0.5878   0.8722   0.8162    0.9847   0.8312   0.5843   -0.23
    8    0.4610   0.8708   0.8397    0.6085   0.8343   0.8148    1.0471   0.7784   0.5033   +3.65
    9    0.4792   0.8719   0.8461    0.5834   0.8749   0.8242    1.2028   0.7851   0.4617   -0.30
   10    0.4325   0.8734   0.8552    0.6047   0.8970   0.8221    1.1624   0.8330   0.5105   -2.36
   11    0.4022   0.8763   0.8629    0.6455   0.9008   0.8149    1.4837   0.8141   0.4325   -2.44
   12    0.3865   0.8761   0.8692    0.6222   0.8935   0.8201    1.2605   0.8028   0.4961   -1.74
   13    0.3771   0.8789   0.8764    0.6179   0.8873   0.8257    1.2268   0.8369   0.5488   -0.84
   14    0.3644   0.8794   0.8823    0.6739   0.8938   0.8232    0.9068   0.8604   0.6957   -1.44
   15    0.3390   0.8821   0.8902    0.7463   0.9102   0.8221    0.6228   0.8968   0.8373   -2.80
   16    0.3319   0.8834   0.8978    0.7340   0.9075   0.8195    0.4742   0.9125   0.8957   -2.41
   17    0.3232   0.8856   0.9051    0.6806   0.8928   0.8196    0.3072   0.9469   0.9634   -0.72
   18    0.3038   0.8896   0.9130    0.6772   0.8811   0.8181    0.3688   0.9312   0.9445   +0.85
   19    0.2893   0.8934   0.9210    0.7461   0.8905   0.8169    0.4382   0.9332   0.9310   +0.29
   20    0.2772   0.8963   0.9272    0.7650   0.8970   0.8189    0.4273   0.9351   0.9348   -0.07
