Victim Model Training Summary
==================================================
Mode:             overfit
Architecture:     densenet121
Epochs:           30
Batch size:       64
Learning rate:    0.0001
Weight decay:     0.0
Dropout:          False
pos_weight:       True
Gradient clip:    5.0

Final train_acc:  0.9905
Final val_acc:    0.9018
Final val_AUC:    0.7588
Memorization gap: +8.87%

Epoch    TrLoss    TrAcc    VlLoss    VlAcc    VlAUC    Gap%
------------------------------------------------------------
    1    0.6305   0.8617    0.5987   0.8564   0.8043   +0.53
    2    0.5611   0.8702    0.5815   0.8673   0.8155   +0.29
    3    0.5186   0.8743    0.5913   0.8721   0.8178   +0.22
    4    0.4627   0.8832    0.6051   0.8618   0.8125   +2.14
    5    0.3931   0.8949    0.6995   0.8770   0.8054   +1.78
    6    0.3218   0.9110    0.8138   0.8868   0.7981   +2.42
    7    0.2516   0.9297    0.9376   0.8852   0.7858   +4.45
    8    0.2003   0.9442    1.0737   0.8867   0.7783   +5.75
    9    0.1634   0.9556    1.2829   0.9028   0.7887   +5.28
   10    0.1313   0.9649    1.3428   0.8975   0.7805   +6.74
   11    0.1123   0.9708    1.4079   0.8919   0.7729   +7.90
   12    0.0911   0.9766    1.5673   0.9025   0.7798   +7.42
   13    0.0807   0.9796    1.7162   0.9035   0.7699   +7.61
   14    0.0733   0.9817    1.9371   0.9111   0.7700   +7.05
   15    0.0695   0.9831    1.7328   0.9007   0.7722   +8.25
   16    0.0648   0.9843    1.9147   0.9064   0.7686   +7.79
   17    0.0600   0.9859    2.0798   0.9067   0.7691   +7.91
   18    0.0571   0.9864    1.9277   0.9006   0.7685   +8.58
   19    0.0562   0.9865    1.8870   0.9006   0.7679   +8.60
   20    0.0527   0.9877    1.9718   0.8976   0.7653   +9.01
   21    0.0479   0.9887    2.3201   0.9085   0.7697   +8.02
   22    0.0485   0.9886    2.2222   0.9071   0.7688   +8.15
   23    0.0478   0.9890    2.3430   0.9097   0.7641   +7.93
   24    0.0421   0.9901    2.3107   0.9093   0.7703   +8.08
   25    0.0449   0.9896    2.3315   0.9078   0.7664   +8.17
   26    0.0422   0.9902    2.3620   0.9096   0.7674   +8.07
   27    0.0415   0.9901    2.4777   0.9108   0.7651   +7.93
   28    0.0390   0.9910    2.4767   0.9089   0.7614   +8.20
   29    0.0360   0.9916    2.4097   0.9078   0.7722   +8.38
   30    0.0409   0.9905    2.2642   0.9018   0.7588   +8.87
