Victim Model Training Summary
==================================================
Mode:             regularized
Architecture:     densenet121
Epochs:           30
Batch size:       64
Learning rate:    0.0001
Weight decay:     0.0001
Dropout:          True
pos_weight:       True
Gradient clip:    5.0

Final train_acc:  0.9488
Final val_acc:    0.8951
Final val_AUC:    0.7770
Memorization gap: +5.37%

Epoch    TrLoss    TrAcc    VlLoss    VlAcc    VlAUC    Gap%
------------------------------------------------------------
    1    0.6488   0.8571    0.6131   0.8510   0.7978   +0.61
    2    0.5868   0.8664    0.5903   0.8763   0.8080   -1.00
    3    0.5651   0.8692    0.5810   0.8745   0.8133   -0.53
    4    0.5451   0.8731    0.5779   0.8453   0.8190   +2.78
    5    0.5327   0.8733    0.5650   0.8730   0.8237   +0.03
    6    0.5175   0.8757    0.5637   0.8766   0.8247   -0.09
    7    0.4998   0.8781    0.5877   0.8840   0.8191   -0.58
    8    0.4841   0.8789    0.5807   0.8749   0.8240   +0.40
    9    0.4680   0.8821    0.5817   0.8686   0.8231   +1.34
   10    0.4491   0.8840    0.5966   0.8719   0.8164   +1.21
   11    0.4302   0.8871    0.6091   0.8713   0.8177   +1.58
   12    0.4087   0.8905    0.6374   0.8689   0.8128   +2.16
   13    0.3900   0.8945    0.6819   0.8801   0.8109   +1.44
   14    0.3719   0.8977    0.6837   0.8724   0.8052   +2.54
   15    0.3532   0.9021    0.6898   0.8623   0.7990   +3.97
   16    0.3343   0.9058    0.7455   0.8783   0.7988   +2.75
   17    0.3187   0.9101    0.7751   0.8752   0.7988   +3.49
   18    0.3045   0.9133    0.7850   0.8631   0.7975   +5.03
   19    0.2886   0.9181    0.8456   0.8717   0.7933   +4.64
   20    0.2745   0.9221    0.9114   0.8897   0.7914   +3.24
   21    0.2634   0.9251    0.9157   0.8878   0.7937   +3.73
   22    0.2510   0.9285    0.8845   0.8816   0.7911   +4.70
   23    0.2424   0.9304    0.9879   0.8875   0.7974   +4.29
   24    0.2315   0.9341    0.9216   0.8803   0.7885   +5.38
   25    0.2208   0.9370    1.0348   0.8934   0.7850   +4.36
   26    0.2141   0.9395    1.0505   0.8925   0.7861   +4.70
   27    0.2032   0.9429    1.1163   0.8895   0.7845   +5.34
   28    0.1967   0.9448    1.0692   0.8881   0.7885   +5.67
   29    0.1897   0.9470    1.2199   0.9010   0.7811   +4.60
   30    0.1839   0.9488    1.2192   0.8951   0.7770   +5.37
